balancing_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2011-04-11,ETER3,ETERNIT,5762,2011-03-11 11:18:46,2010-12-31,89.5,-56.717,123.661,0.2295673966730609,987.185,930.468,0.1329019375196138,1
2011-04-11,TOTS3,TOTVS,19992,2011-01-31 19:05:59,2010-12-31,31.459,179.421,211.669,0.1722607088382209,994.1044,1173.5254,0.1803701905386965,2
2011-04-11,RAPT4,RANDON PART,14109,2011-03-16 07:37:57,2010-12-31,243.785,69.816,450.228,0.1825471786784747,2913.2307499999997,2983.0467499999995,0.15092891185832072,3
2011-04-11,VALE5,VALE,4170,2011-02-24 23:49:15,2010-12-31,5365.305,30321.395,40442.258,0.1870453196513029,254959.29360000003,285280.68860000005,0.14176304115945684,4
2011-04-11,AUTM3,AUTOMETAL,22381,2011-02-28 14:52:34,2010-12-31,94.425,252.107,247.233,0.1891095934069881,1606.1692500000001,1858.2762500000001,0.13304426615795148,5
2011-04-11,JHSF3,JHSF PART,20605,2011-03-30 13:02:47,2010-12-31,426.374825,31.994,235.025,0.2033450704225351,1837.6754957499998,1869.6694957499997,0.12570403514323905,6
2011-04-11,BRAP4,BRADESPAR,18724,2011-03-25 16:48:14,2010-12-31,349.548,2471.046,2453.397,0.1747802318670754,15082.9962,17554.0422,0.13976251008442944,7
2011-04-11,FESA4,FERBASA,3069,2011-03-29 09:47:43,2010-12-31,88.32,-383.574,125.956,0.1284840204385067,1201.1519999999998,817.5779999999997,0.15405991844203248,8
2011-04-11,UGPA4,ULTRAPAR,18465,2011-02-24 00:53:54,2010-12-31,136.095999,2195.406,1245.517,0.1117552042074404,3865.1263716,6060.5323716,0.20551280376564995,9
2011-04-11,TGMA3,TEGMA,20800,2011-03-01 23:08:15,2010-12-31,66.003,13.01,168.438,0.2567937132719813,1693.63698,1706.64698,0.09869527909046544,10
2011-04-11,HBOR3,HELBOR,20877,2011-03-17 09:40:09,2010-12-31,65.097,246.747,198.056,0.134127280227053,1346.85693,1593.60393,0.12428182202085811,11
2011-04-11,FHER3,FER HERINGER,20621,2011-03-14 17:03:24,2010-12-31,48.471,606.485,169.658,0.1101897568872116,498.28187999999994,1104.76688,0.15356904978903785,12
2011-04-11,ALPA4,ALPARGATAS,10456,2011-03-30 16:55:23,2010-12-31,353.456,-358.705,324.225,0.2346287951054241,4011.7256,3653.0206000000003,0.08875531662756021,13
